order_id,customer_name,email,phone_number,country_code,order_date,quantity,price,payment_mode
1,John,john@gmail.com,9876543210,IN,2025-01-15,2,500,CARD
2,Mary,mary@gmail,12345,IN,2025-02-20,-1,-100,BITCOIN
3,Alex,alex@yahoo.com,81234567,SG,2035-01-01,5,1000,UPI
4,Sara,sara@test.com,9123456789,IN,31-13-2025,3,300,CARD
5,David,david@test.com,8123456,SG,2025-03-10,1,150,WALLET
6,Emma,,9876543210,IN,2025-04-10,4,250,NETBANKING
7,Ryan,ryan@test.com,9876543210,IN,2025-05-10,0,400,CARD
8,Lily,lily@test.com,9876543210,IN,2025-06-10,2,0,CARD
9,Chris,chris@test.com,9876543210,IN,2025-07-10,2,500,CASH
9,Chris,chris@test.com,9876543210,IN,2025-07-10,2,500,CASH
